feature_extraction,channels,classifier,cross-validation,feature-selection,accuracy,f1_score,AUC
PSD - Alpha Features,Fp1,LigthGBM,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD - Alpha Features,Fp1,LigthGBM,KFold,chi2,0.4111111111111111,0.2897435897435897,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedKFold,chi2,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,Fp1,LigthGBM,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,Fp1,AdaBoost,KFold,anova,0.4583333333333333,0.4347041847041847,0.515
PSD - Alpha Features,Fp1,AdaBoost,KFold,mutual_info_classif,0.3833333333333333,0.3618759018759018,0.4033333333333333
PSD - Alpha Features,Fp1,AdaBoost,KFold,chi2,0.4583333333333333,0.4497041847041846,0.4666666666666667
PSD - Alpha Features,Fp1,AdaBoost,StratifiedKFold,anova,0.475,0.4425324675324675,0.485
PSD - Alpha Features,Fp1,AdaBoost,StratifiedKFold,mutual_info_classif,0.4305555555555555,0.420021645021645,0.4349999999999999
PSD - Alpha Features,Fp1,AdaBoost,StratifiedKFold,chi2,0.4694444444444444,0.460981240981241,0.485
PSD - Alpha Features,Fp1,AdaBoost,StratifiedShuffleSplit,anova,0.5111111111111111,0.4942279942279942,0.515
PSD - Alpha Features,Fp1,AdaBoost,StratifiedShuffleSplit,mutual_info_classif,0.5333333333333334,0.5143506493506494,0.525
PSD - Alpha Features,Fp1,AdaBoost,StratifiedShuffleSplit,chi2,0.4666666666666666,0.4309829059829059,0.45
PSD - Total Power & Spectral Density Features,All,Support Vector,KFold,anova,0.4555555555555555,0.3613220113220113,0.5216666666666667
PSD - Total Power & Spectral Density Features,All,Support Vector,KFold,mutual_info_classif,0.4777777777777777,0.3965367965367965,0.5449999999999999
PSD - Total Power & Spectral Density Features,All,Support Vector,KFold,chi2,0.4611111111111111,0.3697435897435898,0.55
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedKFold,anova,0.5222222222222223,0.4166666666666667,0.54
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedKFold,mutual_info_classif,0.425,0.3506837606837607,0.445
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedKFold,chi2,0.4805555555555555,0.3588811188811188,0.525
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedShuffleSplit,anova,0.5777777777777778,0.4954245754245754,0.5700000000000001
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedShuffleSplit,mutual_info_classif,0.6444444444444445,0.5731623931623931,0.65
PSD - Total Power & Spectral Density Features,All,Support Vector,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,Random Forest,KFold,anova,0.3888888888888888,0.3057664557664558,0.4616666666666667
PSD - Total Power & Spectral Density Features,All,Random Forest,KFold,mutual_info_classif,0.4333333333333334,0.3382051282051282,0.51
PSD - Total Power & Spectral Density Features,All,Random Forest,KFold,chi2,0.5472222222222223,0.5010606060606061,0.615
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedKFold,anova,0.4555555555555555,0.3261721611721611,0.465
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedKFold,mutual_info_classif,0.5222222222222221,0.4062820512820512,0.5549999999999999
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedKFold,chi2,0.4277777777777777,0.4198701298701299,0.44
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD - Total Power & Spectral Density Features,All,Random Forest,StratifiedShuffleSplit,chi2,0.5777777777777777,0.5755555555555556,0.5900000000000001
PSD - Total Power & Spectral Density Features,All,XGBoost,KFold,anova,0.5888888888888889,0.5479453879453879,0.5766666666666667
PSD - Total Power & Spectral Density Features,All,XGBoost,KFold,mutual_info_classif,0.6416666666666666,0.6244733044733045,0.6483333333333334
PSD - Total Power & Spectral Density Features,All,XGBoost,KFold,chi2,0.5666666666666667,0.5464502164502164,0.5883333333333335
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedKFold,anova,0.4555555555555555,0.4258008658008658,0.4699999999999999
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedKFold,mutual_info_classif,0.5166666666666666,0.4931168831168831,0.505
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedKFold,chi2,0.5222222222222223,0.5101226551226551,0.54
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedShuffleSplit,anova,0.6,0.5972222222222223,0.6050000000000001
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedShuffleSplit,mutual_info_classif,0.6888888888888889,0.6796969696969696,0.6900000000000001
PSD - Total Power & Spectral Density Features,All,XGBoost,StratifiedShuffleSplit,chi2,0.5333333333333334,0.5148701298701299,0.54
PSD - Total Power & Spectral Density Features,All,LigthGBM,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD - Total Power & Spectral Density Features,All,LigthGBM,KFold,chi2,0.4111111111111111,0.2897435897435897,0.5
